,Dates,Text
53,2021-10-28 15:29:43+00:00,"@PRSundar64 Adnani group
Reliance industries 
Aeronotic
Even good banks stock
Icici
Axis 
Sbin
Seen down trend toda… https://t.co/LveQnckaw4"
54,2021-10-28 15:09:01+00:00,"RT @assetyogi: Which company do you think has the potential to replace the position of Reliance in the future? Comment below!
.
.
#stocks #…"
55,2021-10-28 14:59:32+00:00,"#Reliance #Jio pays DoT ₹ 10,792 crore towards 2016 auction payment [Automated tweet] https://t.co/1G90FslA4Y"
56,2021-10-28 14:43:06+00:00,"RT @CA_Tekpreet: Nifty roll over approx 64.27% against 3M avg of 63.39%.
 Highest roll over Escorts, Siemens, Alkem, UPL, Vedanta and Divis…"
57,2021-10-28 14:21:26+00:00,"Nifty roll over approx 64.27% against 3M avg of 63.39%.
 Highest roll over Escorts, Siemens, Alkem, UPL, Vedanta an… https://t.co/2AbNxdRrvX"
58,2021-10-28 14:00:19+00:00,"RT @assetyogi: Which company do you think has the potential to replace the position of Reliance in the future? Comment below!
.
.
#stocks #…"
59,2021-10-28 13:47:29+00:00,"Which company do you think has the potential to replace the position of Reliance in the future? Comment below!
.
.… https://t.co/sApl680SBe"
60,2021-10-28 12:45:25+00:00,"RT @Khushal36152875: Top Diwali stocks to pick ,

1) reliance industries 
2) bank of Baroda 
3) Asian paints 
4) IRCTC
5) Tata power
6) tri…"
61,2021-10-28 12:41:43+00:00,"RT @chandansanthosh: DONT PANIC FOR THIS CORECTION.

THIS IS THE RIGHT TIME TO FIND QUALITY STOCKS WITH GOOD RETRACEMENT ZONE. 

SPECIALLLY…"
62,2021-10-28 12:36:55+00:00,"DONT PANIC FOR THIS CORECTION.

THIS IS THE RIGHT TIME TO FIND QUALITY STOCKS WITH GOOD RETRACEMENT ZONE. 

SPECIAL… https://t.co/sLYprj2rTi"
63,2021-10-28 12:27:29+00:00,"Kotak Securities picks these 10 potential stock ideas for Samvat 2078 SBI, ITC, and Reliance Industries are among t… https://t.co/qbrnouYA31"
64,2021-10-28 11:19:47+00:00,RT @CA_Tekpreet: #NIFTYFUTURE #nifty50 #Nifty #StocksToBuy #Stocks #Stockmarket #BankNifty #CNBCTV18Market #CNBC_AWAAZ #Zeebusiness #Relian…
65,2021-10-28 11:09:26+00:00,"RT @ProfitKing7: 10 Stocks to Invest in and have a peaceful nights sleep everyday

💥HDFC Bank
💥Pidilite
💥TCS
💥Divis Lab
💥Kotak Bank
💥Infosy…"
66,2021-10-28 10:54:32+00:00,#NIFTYFUTURE #nifty50 #Nifty #StocksToBuy #Stocks #Stockmarket #BankNifty #CNBCTV18Market #CNBC_AWAAZ #Zeebusiness… https://t.co/HSSlpv4zjz
67,2021-10-28 10:39:09+00:00,"RT @ProfitKing7: 10 Stocks to Invest in and have a peaceful nights sleep everyday

💥HDFC Bank
💥Pidilite
💥TCS
💥Divis Lab
💥Kotak Bank
💥Infosy…"
68,2021-10-28 10:14:12+00:00,"#REL #RELIANCE BLAAASTED

SHORTED AT 2619.3
NEW LOW MADE 2590+
LOT SIZE 250

#HADC #INDICATOR

#nifty #nifty50… https://t.co/XXyttRZkIm"
69,2021-10-28 10:08:50+00:00,A joint venture (JV) between Reliance Brands and US-based Iconix Brand Group has acquired the intellectual property… https://t.co/FDsQa366I6
70,2021-10-28 09:59:58+00:00,"Buzzing Stocks in Unlisted Market:

HDB 880
Kurlon 725
Paytm 2900
Studds 2050
MobiKwik 1150
Frick India 5500
Hero F… https://t.co/c47ikaJDN5"
71,2021-10-28 09:33:21+00:00,"Top Diwali stocks to pick ,

1) reliance industries 
2) bank of Baroda 
3) Asian paints 
4) IRCTC
5) Tata power
6)… https://t.co/AgchIN3dnb"
