,Dates,Text
59,2021-10-24 13:32:56+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
60,2021-10-24 11:12:36+00:00,"RT @ipo_mantra: List of some stocks which always rewarded investors.

Have a look:

Banks: HDFC Bank
Pharma: Divis, Laurus
IT: Infy, TCS
Pa…"
61,2021-10-24 10:53:54+00:00,"RT @TeckAnalytics: PE valuation IT stocks after correction
#INFY #WIPRO #HCLTECH #TCS #LTI #LTTS #MINDTREE #INFOEDGE #TECHM #COFORGE #JUSTD…"
62,2021-10-24 10:36:34+00:00,"RT @TeckAnalytics: PE valuation IT stocks after correction
#INFY #WIPRO #HCLTECH #TCS #LTI #LTTS #MINDTREE #INFOEDGE #TECHM #COFORGE #JUSTD…"
63,2021-10-24 10:16:03+00:00,"PE valuation IT stocks after correction
#INFY #WIPRO #HCLTECH #TCS #LTI #LTTS #MINDTREE #INFOEDGE #TECHM #COFORGE… https://t.co/aOnwfQttRT"
64,2021-10-24 09:39:26+00:00,"RT @ipo_mantra: Never fall in love with your stocks.

Even if those stocks are Infy or IRCTC or ITC .. !"
65,2021-10-24 09:23:36+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
66,2021-10-24 07:21:07+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
67,2021-10-24 06:30:47+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
68,2021-10-24 05:09:14+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
69,2021-10-24 04:08:51+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
70,2021-10-24 03:46:49+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
71,2021-10-24 03:43:26+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
72,2021-10-24 03:32:35+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
73,2021-10-24 03:27:01+00:00,"The “1 lakh” strategy in stock market.
Want a peace of mind and create a wealth which can be used for your kids… th… https://t.co/eDaT9YdtTb"
74,2021-10-24 03:14:10+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
75,2021-10-24 03:08:45+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
76,2021-10-24 02:43:58+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
77,2021-10-24 02:11:39+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
78,2021-10-24 01:07:02+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
79,2021-10-23 23:57:53+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
80,2021-10-23 20:09:03+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
81,2021-10-23 19:43:16+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
82,2021-10-23 18:28:01+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
83,2021-10-23 18:22:32+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
84,2021-10-23 18:16:43+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
85,2021-10-23 17:58:55+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
86,2021-10-23 16:56:38+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
87,2021-10-23 16:19:55+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
88,2021-10-23 16:19:29+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
89,2021-10-23 16:01:30+00:00,"RT @marketstodays: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elx…"
90,2021-10-23 15:50:26+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
91,2021-10-23 15:47:13+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
92,2021-10-23 15:40:40+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
93,2021-10-23 15:39:29+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
94,2021-10-23 15:31:30+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
95,2021-10-23 15:31:02+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
96,2021-10-23 15:30:14+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
97,2021-10-23 15:29:40+00:00,"These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tat… https://t.co/6gn917EI1D"
98,2021-10-23 15:27:03+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
99,2021-10-23 15:23:28+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
100,2021-10-23 15:22:46+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
101,2021-10-23 15:21:20+00:00,"RT @DhanValue: These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tata Elxsi
2…"
102,2021-10-23 15:19:35+00:00,"These 10  IT Software Stocks That Have Delivered Positive Result So Far In Quarter Ended September 30, 2021

1. Tat… https://t.co/YW1AwBhr7y"
103,2021-10-23 14:01:27+00:00,"RT @ntdmagic: #Arjun1234sunshine buy or sell with 3 percent sl #Rblbank #infy #vedl #bata , we cover 180 stocks of fno , this project can e…"
104,2021-10-23 13:54:45+00:00,"#Arjun1234sunshine buy or sell with 3 percent sl #Rblbank #infy #vedl #bata , we cover 180 stocks of fno , this pro… https://t.co/3KaVZfNN58"
105,2021-10-23 09:47:02+00:00,"#Infy and #tcs consider these two creating long term opportunity. 

#stockstowatch #StocksToBuy #stocks"
106,2021-10-23 09:05:14+00:00,"@SumitResearch Is this news positive for the share, well all the recent positive news for shares, the bear carted s… https://t.co/1eX3hBa9vE"
107,2021-10-23 09:03:39+00:00,"@Abhishekkar_ Hi abhi, how to spot the bear cartel operating stocks and trapping people suddenly we don't realise u… https://t.co/TcAlZBTcrF"
108,2021-10-22 20:05:02+00:00,"Top #moneyflow for #nasdaq today
$AMZN $GOOG $MSFT $BIDU $INFY $ISRG $QCOM $WYNN $ATVI $COST ...
https://t.co/S59zN18Con"
109,2021-10-22 17:23:55+00:00,RT @TeesFine: $INFY was $6;March 2020! Now it's $23 #stocks #stockmarket #stock #ETFs #ETF #Investor #DRIP #investing #invest #investment #…
110,2021-10-22 17:23:17+00:00,RT @TeesFine: $INFY was $6;March 2020! Now it's $23 #stocks #stockmarket #stock #ETFs #ETF #Investor #DRIP #investing #invest #investment #…
111,2021-10-22 17:22:55+00:00,$INFY was $6;March 2020! Now it's $23 #stocks #stockmarket #stock #ETFs #ETF #Investor #DRIP #investing #invest… https://t.co/nVlDXBOShV
112,2021-10-22 15:48:10+00:00,Tech stocks like infy tcs Wipro LTI LTTS..tech Mahindra mental 🌴 mphasis shd crash ..we need a crash atleast 30-40%&gt;&gt;
113,2021-10-22 15:19:51+00:00,"RT @tusharsood2010: #views shared only for reference

#Infy
#ITC
#SBI
#BandhanBank
#IOC
#AndhraSugars
#Pfizer
#HUL
#LTTS
#banknifty

Visit…"
114,2021-10-22 14:47:19+00:00,"#views shared only for reference

#Infy
#ITC
#SBI
#BandhanBank
#IOC
#AndhraSugars
#Pfizer
#HUL
#LTTS
#banknifty

Vi… https://t.co/jUtHJQffqc"
115,2021-10-22 02:38:04+00:00,"Infosys Limited current quarter revenue growth YoY of 21.20% ranked 2063 out of 5620 companies in our database. 

👉… https://t.co/IczCUMeVLc"
116,2021-10-22 02:04:15+00:00,"(7/n) Negative-looking stocks (1): 
Trade theme for short ideas: Support violation or a resistance confirmation
CAD… https://t.co/70GAsV6ocx"
117,2021-10-22 00:54:48+00:00,"@Kiran24Rajput @RaKavi_tweets I am thinking of below safest stocks in sip every month for next 15 years.    RIL, Ic… https://t.co/xYSttOrbfP"
118,2021-10-21 20:58:29+00:00,"RT @NeuyNodes: Conti. #AI 1-2 Week Bullish Stocks

$PLTR : 92.35%
$V : 92.35%
$AMAT : 92.12%
$INFY : 91.98%
$NIO : 91.87%
$HPQ : 91.35%
$AM…"
119,2021-10-21 20:32:48+00:00,"Conti. #AI 1-2 Week Bullish Stocks

$PLTR : 92.35%
$V : 92.35%
$AMAT : 92.12%
$INFY : 91.98%
$NIO : 91.87%
$HPQ : 9… https://t.co/fatYjWRa20"
120,2021-10-21 17:26:59+00:00,"@Joydas If you see the portfolio of these MFs, majority of them have very high allocation to blue chip stocks (e.g.… https://t.co/7AhrS9SPV7"
121,2021-10-21 16:02:23+00:00,"Best stocks to trade tomorrow on 22nd Oct 2021

ADANIPORTS
COFORGE
HAVELLS
INFY
L&amp;TFH
LTTS
MPHASIS

Do share your profit screenshots :)"
122,2021-10-21 13:21:08+00:00,"Added Some Quality Stocks Again..

SIP

#Ashok_leyland
#Heromotocorp
#pidilite
#Infy
#tcs"
123,2021-10-21 13:06:18+00:00,"⬇️ #nifty50
My choices of evergreen #stocks

Bajajfinserv/Bajaj finance 
Bajaj auto/maruti
HDFC/Hdfc bank/Kotak ban… https://t.co/GJyK6e9JxD"
124,2021-10-21 13:05:03+00:00,"Dont get carried away to sell your core portfolio stocks like hdfc banks, hdfc ltd, Kotak, infy,tcs , etc to buy in… https://t.co/lRiQOP8JeK"
125,2021-10-21 12:18:04+00:00,"$INFY, $JCS, $LRCX 12 Information Technology Stocks Moving In Thursday's Pre-Market Session - https://t.co/CfQVteKDjI"
